2L_RaGOO	2395848	2396938	2	2	1	1	0	39
2L_RaGOO	2395848	2397668	2	2	1	1	0	38
2L_RaGOO	2395848	2398861	2	2	1	1	0	39
2L_RaGOO	2395848	2399102	2	4	1	1	0	37
2L_RaGOO	2395848	2399155	2	2	1	4	0	26
2L_RaGOO	2395848	2399326	2	2	1	3	0	27
2L_RaGOO	2399354	2399412	2	2	0	1	0	27
2L_RaGOO	10389411	10390734	1	1	1	40	0	36
2L_RaGOO	21822008	21828650	1	1	0	1	0	38
2L_RaGOO	21822008	21835440	1	1	0	1	0	38
2L_RaGOO	21822008	21835734	1	1	1	2	0	25
2L_RaGOO	21822008	21854836	1	1	0	1	0	38
2L_RaGOO	21822008	21876840	1	1	1	1	0	38
2L_RaGOO	21835820	21876840	1	1	1	1	0	38
2L_RaGOO	21877706	21882743	1	1	1	2	0	34
2L_RaGOO	21882876	21882927	1	1	1	3	0	24
X_RaGOO	19101877	19103677	2	2	1	1	0	40
