2L_RaGOO	19324417	19360685	1	1	0	0	1	21
3L_RaGOO	25378148	25387142	1	1	0	1	0	15
3L_RaGOO	25380521	25389262	2	2	0	1	0	34
3L_RaGOO	25380521	25389565	2	2	0	1	0	38
3L_RaGOO	25380658	25389565	2	2	0	1	0	38
3L_RaGOO	25381055	25391827	1	1	0	1	0	13
3L_RaGOO	25389240	25391827	1	1	1	1	0	37
3L_RaGOO	25389253	25391827	1	1	1	1	0	38
3R_RaGOO	9563077	9603198	1	1	0	1	0	12
X_RaGOO	1764997	1765066	2	2	1	1	0	183
X_RaGOO	1765250	1765303	2	2	1	1	0	130
X_RaGOO	1765434	1765489	2	2	1	1	0	102
X_RaGOO	3185714	3196960	2	2	0	0	1	19
X_RaGOO	3902581	3925091	1	1	0	0	1	13
X_RaGOO	4850154	4876647	1	1	0	0	1	12
X_RaGOO	6384311	6384653	2	2	0	1	0	16
X_RaGOO	6384311	6386300	2	2	0	1	0	38
X_RaGOO	6386222	6386300	2	2	0	1	0	18
X_RaGOO	8564796	8575819	1	1	0	0	1	18
X_RaGOO	10401792	10413287	2	2	0	1	0	15
X_RaGOO	13239134	13249264	2	2	0	0	1	20
X_RaGOO	20055720	20083201	2	2	0	1	0	16
