X	59208625	59208715	1	1	1	1	0	66
X	59208782	59210000	1	1	1	1	0	60
X	59210061	59210543	1	1	1	1	0	60
X	59210685	59211665	1	1	1	1	0	112
X	59211778	59212092	1	1	1	1	0	112
X	88645221	88663763	2	2	0	0	1	32
3	26639364	26649599	1	1	1	1	0	108
3	26649727	26653784	1	1	1	1	0	116
3	26653901	26662506	1	1	1	1	0	40
3	54171404	54173214	2	2	1	1	0	109
3	54173324	54176607	2	2	1	1	0	109
3	54176731	54178616	2	2	1	1	0	123
3	54178784	54179726	2	2	1	1	0	79
5	31975822	31976266	1	1	0	1	0	38
2	4722726	4723552	2	2	0	0	1	23
2	29437234	29441655	2	2	1	1	0	21
6	38688137	38689358	2	2	0	1	0	75
6	38689477	38691320	2	2	1	1	0	13
8	63494649	63495239	2	2	1	1	0	39
11	26789080	26790189	1	1	0	1	0	36
11	26789080	26791361	1	1	1	1	0	39
11	26790387	26791361	1	1	0	1	0	39
11	26791400	26792679	1	1	1	1	0	39
11	26792762	26793951	1	1	1	1	0	39
11	26792762	26798100	1	1	0	1	0	38
11	26794031	26798100	1	1	0	1	0	38
12	58996372	58996574	2	2	0	0	1	21
13	37980556	37980635	2	2	1	1	0	36
13	37980744	37980842	2	2	1	5	0	25
13	48433414	48440630	1	1	1	1	0	93
13	48440807	48441342	1	1	1	1	0	14
13	48441526	48444803	1	1	1	1	0	85
13	48444910	48445781	1	1	1	1	0	20
9	16442806	16443222	2	2	1	1	0	12
20	38084564	38086035	1	1	1	1	0	54
20	38086471	38089215	1	1	1	1	0	136
20	51034370	51038233	1	1	0	1	0	64
18	53579596	53579681	2	2	0	0	1	20
23	4045314	4045731	2	2	0	0	1	21
25	17107960	17108903	2	2	0	0	1	23
24	12359274	12360662	1	3	1	1	0	31
24	43930188	43956564	1	1	1	1	0	30
24	43956718	43970627	1	1	1	1	0	104
24	43970732	43974120	1	1	1	1	0	81
24	43974202	43976131	1	1	1	1	0	81
24	43976309	43979087	1	1	1	1	0	177
34	18260556	18266224	1	1	0	1	0	14
32	33647271	33657894	2	2	0	0	1	20
26	10070058	10070912	1	1	1	1	0	39
26	10071253	10071481	1	1	1	1	0	40
26	10071555	10071788	1	1	1	1	0	6
33	12451867	12486442	2	2	0	0	1	15
JAAHUQ010001147.1	98907	99101	2	2	0	0	1	21
